seed,strategy,steps,quote_opportunities,fill_opportunity_quantity,fills,buy_fills,sell_fills,final_inventory,final_cash,final_mid_price,mark_to_market_pnl,max_abs_inventory,post_fill_markout_pnl,negative_markout_quantity
1,fixed_spread,500,294,383,200,101,99,2,-20092,10003,-86,26,162,22
2,fixed_spread,500,279,372,174,76,98,-22,220361,10014,53,25,158,19
3,fixed_spread,500,289,390,186,87,99,-12,120433,10033,37,21,183,24
4,fixed_spread,500,295,400,188,104,84,20,-199156,9958,4,22,185,23
5,fixed_spread,500,307,398,173,70,103,-33,330130,10016,-398,33,170,24
6,fixed_spread,500,292,394,197,100,97,3,-29770,9974,152,16,156,34
7,fixed_spread,500,284,367,182,99,83,16,-159661,9986,115,16,217,20
8,fixed_spread,500,317,434,211,120,91,29,-289015,9965,-30,33,166,28
9,fixed_spread,500,318,424,218,114,104,10,-99351,9972,369,18,236,34
10,fixed_spread,500,308,407,211,94,117,-23,230889,10035,84,24,206,28
11,fixed_spread,500,304,392,196,98,98,0,484,10014,484,19,120,37
12,fixed_spread,500,311,419,203,106,97,9,-89382,9959,249,13,182,27
13,fixed_spread,500,301,383,220,98,122,-24,241022,10048,-130,24,175,28
14,fixed_spread,500,282,370,187,81,106,-25,250622,10019,147,34,195,21
15,fixed_spread,500,310,399,190,104,86,18,-179431,9956,-223,28,146,22
16,fixed_spread,500,304,422,196,91,105,-14,140560,9974,924,27,120,34
17,fixed_spread,500,305,407,212,112,100,12,-119559,9984,249,14,178,30
18,fixed_spread,500,302,393,186,94,92,2,-19908,10013,118,15,179,28
19,fixed_spread,500,315,433,232,103,129,-26,260872,10046,-324,34,206,23
20,fixed_spread,500,307,398,195,101,94,7,-69509,9930,1,16,158,30
21,fixed_spread,500,301,394,206,100,106,-6,60494,10024,350,25,220,27
22,fixed_spread,500,301,403,185,102,83,19,-189272,9953,-165,23,159,27
23,fixed_spread,500,294,397,195,81,114,-33,330965,10051,-718,35,178,21
24,fixed_spread,500,304,405,202,101,101,0,64,9949,64,10,185,32
25,fixed_spread,500,299,404,203,73,130,-57,570187,9988,871,63,189,32
26,fixed_spread,500,307,418,187,84,103,-19,190484,10014,218,35,157,27
27,fixed_spread,500,296,395,208,95,113,-18,180340,10017,34,22,166,45
28,fixed_spread,500,304,389,179,79,100,-21,210500,10021,59,26,186,18
29,fixed_spread,500,288,399,190,94,96,-2,20145,9966,213,12,173,22
30,fixed_spread,500,290,387,177,92,85,7,-69783,9986,119,18,168,18
31,fixed_spread,500,293,399,189,97,92,5,-49822,10000,178,11,182,26
32,fixed_spread,500,304,405,195,99,96,3,-30208,10021,-145,14,161,20
33,fixed_spread,500,300,398,192,83,109,-26,260799,10039,-215,33,169,34
34,fixed_spread,500,313,422,228,121,107,14,-139413,9971,181,20,195,31
35,fixed_spread,500,284,360,181,89,92,-3,30080,9958,206,15,162,24
36,fixed_spread,500,267,365,183,85,98,-13,130115,9955,700,18,148,24
37,fixed_spread,500,272,364,191,76,115,-39,391960,10054,-146,42,148,31
