policy,seed,total_reward,mark_to_market_pnl,final_inventory,max_abs_inventory,gross_spread_capture_pnl,post_fill_markout_pnl,negative_markout_quantity,negative_markout_loss,fills
fixed_skew,1,88.4,104,6,12,130,63,1,1,50
fixed_skew,2,32.72,46,-5,7,119,68,0,0,43
fixed_skew,3,132.5,149,7,9,139,102,2,2,55
fixed_skew,4,148.34,156,2,4,135,97,5,5,54
fixed_skew,5,138.08,156,-7,8,109,79,0,0,37
fixed_skew,6,99.58,115,1,8,146,103,2,2,51
fixed_skew,7,141.3,148,3,5,117,69,1,1,49
fixed_skew,8,13.86,45,10,14,143,77,1,1,50
fixed_skew,9,147.56,161,2,8,140,90,1,1,52
fixed_skew,10,218.28,240,5,10,137,98,1,1,47
fixed_skew,11,-92.72,-72,15,15,150,87,1,1,53
fixed_skew,12,223.78,240,5,9,191,117,3,3,69
fixed_skew,13,-40.12,-15,-12,12,148,89,3,3,54
fixed_skew,14,75.34,93,-12,12,129,76,2,2,48
fixed_skew,15,-71.62,-43,11,14,121,78,0,0,43
fixed_skew,16,52.14,74,-5,9,126,81,1,1,43
fixed_skew,17,-5.04,17,8,10,151,71,5,5,52
fixed_skew,18,-64.82,-40,-8,14,129,70,1,1,44
fixed_skew,19,-258.92,-219,-13,16,142,105,0,0,49
fixed_skew,20,186.74,194,-2,4,137,94,2,2,54
fixed_skew,21,-114.42,-86,-15,17,159,131,2,2,59
fixed_skew,22,-55.0,-36,5,13,154,107,0,0,55
fixed_skew,23,88.86,114,-11,11,132,100,2,2,45
fixed_skew,24,-220.66,-196,14,14,118,72,0,0,44
fixed_skew,25,103.16,127,-15,16,140,70,0,0,49
fixed_skew,26,-212.92,-176,-19,19,173,117,2,2,59
fixed_skew,27,228.52,259,-5,13,180,97,0,0,61
fixed_skew,28,-142.9,-115,-14,14,115,88,0,0,40
fixed_skew,29,11.02,24,7,7,118,77,0,0,41
fixed_skew,30,85.36,116,10,12,147,105,0,0,50
ppo,1,85.58,94,3,4,95,55,6,6,39
ppo,2,57.68,63,1,4,128,49,8,8,61
ppo,3,101.5,107,0,3,130,79,3,3,60
ppo,4,83.98,91,3,3,111,93,1,2,49
ppo,5,-21.28,-13,-2,5,104,48,5,7,48
ppo,6,81.94,89,0,5,153,71,14,22,78
ppo,7,134.98,144,3,5,96,71,1,1,35
ppo,8,13.76,23,2,6,95,48,1,1,34
ppo,9,53.8,60,2,5,121,64,8,11,60
ppo,10,64.92,73,-2,5,104,60,6,9,52
ppo,11,27.2,33,2,5,112,26,11,11,54
ppo,12,119.88,126,2,4,166,67,10,12,78
ppo,13,132.12,139,2,7,160,85,11,11,74
ppo,14,55.72,62,-2,4,126,64,5,5,58
ppo,15,67.0,74,2,6,110,64,4,4,48
ppo,16,44.16,51,-1,4,145,61,16,16,73
ppo,17,80.0,88,-2,4,142,75,6,6,58
ppo,18,-7.52,-1,2,4,128,49,11,13,66
ppo,19,-90.78,-80,-2,10,133,58,17,26,76
ppo,20,-7.4,0,1,4,107,66,2,2,45
ppo,21,11.72,21,-2,8,144,84,11,13,80
ppo,22,66.32,74,1,4,122,76,3,5,51
ppo,23,68.82,79,-5,7,128,51,14,18,63
ppo,24,72.56,77,-1,3,101,58,4,4,53
ppo,25,122.84,131,0,6,144,59,15,23,76
ppo,26,108.28,119,-5,9,156,91,6,8,73
ppo,27,48.96,56,2,8,148,40,22,33,78
ppo,28,23.68,31,-1,4,120,67,4,4,57
ppo,29,49.88,55,4,4,138,63,9,9,62
ppo,30,22.74,30,-3,3,115,63,7,7,51
