action_counts,buy_fills,fill_opportunity_quantity,fill_ratio,fills,final_inventory,gross_spread_capture_pnl,liquidation_cost_pnl,mark_to_market_pnl,max_abs_inventory,mean_abs_inventory,negative_markout_loss,negative_markout_quantity,net_pnl,policy,post_fill_markout_pnl,quote_opportunities,regime,seed,sell_fills,steps,strategy,total_reward,transaction_cost_pnl
,38,168,0.44642857,75,1,150.0,2.02,88.49999999995634,7,2.49,6.0,5,86.47999999995635,fixed_spread,121.0,129,calm_low_cost,100001,37,300,fixed_spread,86.47999999995635,1.5000000000000009
,28,135,0.40740741,55,1,122.0,2.02,87.89999999997599,4,1.6233333333333333,5.0,5,85.879999999976,inventory_aware,88.0,105,calm_low_cost,100001,27,300,inventory_aware,85.879999999976,1.1000000000000005
,28,136,0.40441176,55,1,122.0,2.02,87.89999999997599,4,1.6233333333333333,5.0,5,85.879999999976,avellaneda_stoikov,88.0,106,calm_low_cost,100001,27,300,avellaneda_stoikov,85.879999999976,1.1000000000000005
,26,121,0.42975207,52,0,117.0,0.0,98.9599999999773,3,1.0433333333333332,5.0,5,98.9599999999773,bayesian_toxicity,90.0,92,calm_low_cost,100001,26,300,bayesian_toxicity,98.9599999999773,1.0400000000000005
,48,214,0.42056075,90,6,180.0,12.899999999999999,268.5000000000291,9,3.1366666666666667,4.0,4,255.6000000000291,fixed_spread,137.0,155,calm_high_cost,100002,42,300,fixed_spread,255.6000000000291,13.500000000000014
,34,164,0.42073171,69,-1,151.0,2.15,184.6500000000142,5,1.97,3.0,3,182.50000000001418,inventory_aware,116.0,119,calm_high_cost,100002,35,300,inventory_aware,182.50000000001418,10.350000000000005
,36,173,0.41040462,71,1,160.0,2.15,210.35000000000218,7,2.3433333333333333,3.0,3,208.20000000000218,avellaneda_stoikov,123.0,125,calm_high_cost,100002,35,300,avellaneda_stoikov,208.20000000000218,10.650000000000006
,29,143,0.40559441,58,0,131.0,0.0,144.30000000001382,5,1.5666666666666667,3.0,3,144.30000000001382,bayesian_toxicity,102.0,108,calm_high_cost,100002,29,300,bayesian_toxicity,144.30000000001382,8.700000000000003
,53,237,0.45991561,109,-3,218.0,6.0600000000000005,479.8199999998942,10,3.506666666666667,73.0,36,473.7599999998942,fixed_spread,47.0,182,volatile_low_cost,100003,56,300,fixed_spread,473.7599999998942,2.1800000000000015
,36,187,0.40106952,75,-3,164.0,6.0600000000000005,35.49999999996726,5,1.64,55.0,26,29.439999999967256,inventory_aware,25.0,143,volatile_low_cost,100003,39,300,inventory_aware,29.439999999967256,1.5000000000000009
,41,205,0.4097561,84,-2,181.0,4.04,42.31999999994878,8,1.9166666666666667,58.0,28,38.27999999994878,avellaneda_stoikov,26.0,157,volatile_low_cost,100003,43,300,avellaneda_stoikov,38.27999999994878,1.680000000000001
